,index,Star,Scan,JD,CHARA_num,wl,v2,v2c,v2sig,v2exp,flux,T1,T2,File,sp_freq,sp_freq_sample,pa,corr_v2,corr_v2c,corr_v2sig,cal_v2,cal_v2sig,u,v
14,62,HD_28024,27,7956.8906,42842,0.6977,0.007797,0.001867,0.000294,0.9499,9933.5,W2,S2,211014_27_HD_28024.pav,244807388.02244496,244807388.02244496,98.72778053448546,0.014089076949185817,0.0019654700494788927,0.0003095062638172439,0.14956169675575748,0.003860569754690815,-25917527.454046477,168824299.58523726
15,63,HD_28024,27,7956.8906,42842,0.6918,0.008808,0.002145,0.000311,0.9497,9376.0,W2,S2,211014_27_HD_28024.pav,246895222.0631105,246895222.0631105,98.72778053448546,0.01602230777929814,0.002258607981467832,0.00032747183321048755,0.1519147666134765,0.0038286786853980632,-25917527.454046477,168824299.58523726
16,64,HD_28024,27,7956.8906,42842,0.686,0.008514,0.001918,0.000325,0.9497,9385.0,W2,S2,211014_27_HD_28024.pav,248982674.37792978,248982674.37792978,98.72778053448546,0.015587699043913349,0.002019585132146994,0.0003422133305254291,0.1409980745598728,0.007816024293175865,-25917527.454046477,168824299.58523726
17,65,HD_28024,27,7956.8906,42842,0.6804,0.008053,0.001925,0.00033,0.9496,9437.4,W2,S2,211014_27_HD_28024.pav,251031914.49626666,251031914.49626666,98.72778053448546,0.014838524481128537,0.0020271693344566136,0.00034751474304970515,0.13937951475115076,0.0038015118165749717,-25917527.454046477,168824299.58523726
18,66,HD_28024,27,7956.8906,42842,0.675,0.007362,0.001502,0.000329,0.9491,9554.9,W2,S2,211014_27_HD_28024.pav,253040169.8122368,253040169.8122368,98.72778053448546,0.013656669632706241,0.0015825518912654093,0.00034664418923190387,0.1367732907463835,0.004868986113849311,-25917527.454046477,168824299.58523726
19,67,HD_28024,27,7956.8906,42842,0.6697,0.006278,0.001461,0.000354,0.9465,8989.8,W2,S2,211014_27_HD_28024.pav,255042727.5246526,255042727.5246526,98.72778053448546,0.011750000482835756,0.001543581616481775,0.00037400950871632326,0.10796694190189132,0.005810891815866611,-25917527.454046477,168824299.58523726
20,68,HD_28024,27,7956.8906,42842,0.6643,0.006324,0.000955,0.000413,0.9439,9042.3,W2,S2,211014_27_HD_28024.pav,257115933.49881053,257115933.49881053,98.72778053448546,0.011944444973804608,0.0010117597203093548,0.00043754635024896706,0.1065890263670903,0.004541329974665602,-25917527.454046477,168824299.58523726
21,69,HD_28024,27,7956.8906,42842,0.659,0.005987,0.001151,0.000378,0.9418,8971.5,W2,S2,211014_27_HD_28024.pav,259183785.4677691,259183785.4677691,98.72778053448546,0.011405351388094178,0.0012221278403057973,0.00040135909959651734,0.10635651907720628,0.004083143563041564,-25917527.454046477,168824299.58523726
22,70,HD_28024,27,7956.8906,42842,0.6536,0.005858,0.001623,0.000371,0.9407,8850.3,W2,S2,211014_27_HD_28024.pav,261325144.7724294,261325144.7724294,98.72778053448546,0.011246206335328522,0.0017253109386626982,0.00039438715849899014,0.11084114384186716,0.004307553003876501,-25917527.454046477,168824299.58523726
23,71,HD_28024,27,7956.8906,42842,0.6485,0.005851,0.00131,0.000446,0.9397,8108.1,W2,S2,211014_27_HD_28024.pav,263380284.6927677,263380284.6927677,98.72778053448546,0.011315568875411118,0.0013940619346599979,0.0004746195594338619,0.09920252374424901,0.004559379964996922,-25917527.454046477,168824299.58523726
24,72,HD_28024,27,7956.8906,42842,0.6436,0.005096,0.000792,0.000442,0.9397,8213.6,W2,S2,211014_27_HD_28024.pav,265385510.60170892,265385510.60170892,98.72778053448546,0.009916069537616803,0.0008428221772906247,0.0004703628817707779,0.08500893505194769,0.004285608926113169,-25917527.454046477,168824299.58523726
25,73,HD_28024,27,7956.8906,42842,0.6389,0.004517,0.000706,0.000405,0.9402,8233.8,W2,S2,211014_27_HD_28024.pav,267337790.92699927,267337790.92699927,98.72778053448546,0.00883718735468368,0.0007509040629653266,0.00043075941289087423,0.0888785844035563,0.006119078268421212,-25917527.454046477,168824299.58523726
26,74,HD_28024,27,7956.8906,42842,0.6345,0.003528,0.000472,0.000465,0.9419,8055.7,W2,S2,211014_27_HD_28024.pav,269191670.0130179,269191670.0130179,98.72778053448546,0.006928823873866925,0.000501114768022083,0.0004936829812081962,0.08208194935897001,0.007447134131301034,-25917527.454046477,168824299.58523726
27,75,HD_28024,27,7956.8906,42842,0.63,0.002898,1.1e-05,0.000516,0.9439,7613.6,W2,S2,211014_27_HD_28024.pav,271114467.655968,271114467.655968,98.72778053448546,0.005712847545694823,1.16537768831444e-05,0.0005466680792456828,0.08592747997854404,0.011027436679555093,-25917527.454046477,168824299.58523726
28,124,HD_28024,13,7957.8718,42842,0.7935,0.009496,0.003003,0.000587,0.9421,4166.6,W2,S2,211015_13_HD_28024.pav,214564130.7661799,214564130.7661799,94.9487407279758,0.015707811151204912,0.0031875597070374693,0.0006230761065704277,0.27042145602925993,0.01543877385904666,-14687098.502344102,169621967.44505557
29,125,HD_28024,13,7957.8718,42842,0.7857,0.013569,0.003206,0.000572,0.943,4460.4,W2,S2,211015_13_HD_28024.pav,216694206.1384291,216694206.1384291,94.9487407279758,0.02257162743980688,0.003399787910922588,0.000606574761399788,0.2460850340040032,0.009293253750743342,-14687098.502344102,169621967.44505557
30,126,HD_28024,13,7957.8718,42842,0.7779,0.01559,0.004857,0.000624,0.9438,4706.2,W2,S2,211015_13_HD_28024.pav,218866998.02412102,218866998.02412102,94.9487407279758,0.026086160628788185,0.005146217418944692,0.0006611570247933885,0.2105840151004268,0.006667121576820271,-14687098.502344102,169621967.44505557
31,127,HD_28024,13,7957.8718,42842,0.7706,0.017138,0.004923,0.000677,0.9452,4682.2,W2,S2,211015_13_HD_28024.pav,220940355.259491,220940355.259491,94.9487407279758,0.02881774673949002,0.0052084214980956415,0.0007162505289885737,0.18895879578754415,0.005682774526970022,-14687098.502344102,169621967.44505557
32,128,HD_28024,13,7957.8718,42842,0.7633,0.015877,0.004537,0.000589,0.9486,4810.7,W2,S2,211015_13_HD_28024.pav,223053370.5790171,223053370.5790171,94.9487407279758,0.0267758541146559,0.004782837866329328,0.0006209150326797386,0.19774861512089242,0.005817294446029292,-14687098.502344102,169621967.44505557
33,129,HD_28024,13,7957.8718,42842,0.7564,0.01298,0.003795,0.000522,0.9525,5112.0,W2,S2,211015_13_HD_28024.pav,225088098.57610226,225088098.57610226,94.9487407279758,0.021938271091231656,0.003984251968503937,0.0005480314960629922,0.18146632137745788,0.005527881109397398,-14687098.502344102,169621967.44505557
34,130,HD_28024,13,7957.8718,42842,0.7496,0.009639,0.002778,0.000444,0.9554,5629.8,W2,S2,211015_13_HD_28024.pav,227129986.34333476,227129986.34333476,94.9487407279758,0.016344681673618553,0.0029076826460121413,0.00046472681599330124,0.16945828446765915,0.0057737364963533514,-14687098.502344102,169621967.44505557
35,131,HD_28024,13,7957.8718,42842,0.7428,0.006491,0.001615,0.000473,0.9561,5986.9,W2,S2,211015_13_HD_28024.pav,229209259.23931575,229209259.23931575,94.9487407279758,0.011069496802909385,0.0016891538541993515,0.0004947181257190671,0.15797272232383733,0.00822713150818495,-14687098.502344102,169621967.44505557
36,132,HD_28024,13,7957.8718,42842,0.736,0.005705,0.000997,0.000449,0.9565,6484.2,W2,S2,211015_13_HD_28024.pav,231326953.4822877,231326953.4822877,94.9487407279758,0.009788948306708671,0.0010423418714061684,0.00046941975953998955,0.13931033967214998,0.007479422554947549,-14687098.502344102,169621967.44505557
37,133,HD_28024,13,7957.8718,42842,0.7292,0.007383,0.002297,0.0004,0.9565,6810.9,W2,S2,211015_13_HD_28024.pav,233484143.9426272,233484143.9426272,94.9487407279758,0.012752716547421923,0.0024014636696288554,0.0004181913225300575,0.14739656485019897,0.005513190938444611,-14687098.502344102,169621967.44505557
38,134,HD_28024,13,7957.8718,42842,0.7223,0.007226,0.002191,0.000391,0.956,7137.7,W2,S2,211015_13_HD_28024.pav,235714575.33291394,235714575.33291394,94.9487407279758,0.012574324581817323,0.0022918410041841003,0.0004089958158995816,0.17043693832377607,0.006464185403468032,-14687098.502344102,169621967.44505557
39,135,HD_28024,13,7957.8718,42842,0.7159,0.006259,0.001581,0.000394,0.955,7135.6,W2,S2,211015_13_HD_28024.pav,237821815.5649724,237821815.5649724,94.9487407279758,0.010974230661664535,0.001655497382198953,0.000412565445026178,0.1668435403672649,0.007342827320510829,-14687098.502344102,169621967.44505557
40,136,HD_28024,13,7957.8718,42842,0.7095,0.008184,0.001732,0.000401,0.9549,7484.5,W2,S2,211015_13_HD_28024.pav,239967072.25223923,239967072.25223923,94.9487407279758,0.01444610934963778,0.001813802492407582,0.000419939260655566,0.14244094680477343,0.004569774436812044,-14687098.502344102,169621967.44505557
41,137,HD_28024,13,7957.8718,42842,0.7035,0.012569,0.002398,0.000419,0.9548,7753.3,W2,S2,211015_13_HD_28024.pav,242013699.73413467,242013699.73413467,94.9487407279758,0.02232902515902545,0.002511520737327189,0.0004388353581901969,0.1444155109411986,0.003263425355598069,-14687098.502344102,169621967.44505557
42,138,HD_28024,13,7957.8718,42842,0.6977,0.014217,0.002859,0.000415,0.9547,7874.0,W2,S2,211015_13_HD_28024.pav,244025566.52280888,244025566.52280888,94.9487407279758,0.025416655017200605,0.002994658007751126,0.00043469152613386403,0.1387787429360004,0.0028150521205994343,-14687098.502344102,169621967.44505557
43,139,HD_28024,13,7957.8718,42842,0.6918,0.015943,0.003391,0.000498,0.954,7430.9,W2,S2,211015_13_HD_28024.pav,246106732.81723583,246106732.81723583,94.9487407279758,0.028706243323226827,0.0035545073375262055,0.0005220125786163522,0.12412092676125415,0.0025775578729551104,-14687098.502344102,169621967.44505557
44,140,HD_28024,13,7957.8718,42842,0.686,0.013994,0.003505,0.000488,0.9539,7505.4,W2,S2,211015_13_HD_28024.pav,248187518.6049034,248187518.6049034,94.9487407279758,0.025361333973977433,0.0036743893489883635,0.0005115840234825454,0.11036775343022592,0.0024785353212538525,-14687098.502344102,169621967.44505557
45,141,HD_28024,13,7957.8718,42842,0.6804,0.01403,0.003484,0.000467,0.954,7615.5,W2,S2,211015_13_HD_28024.pav,250230214.23128122,250230214.23128122,94.9487407279758,0.025584255222412578,0.0036519916142557654,0.000489517819706499,0.11710162325493853,0.0024900052410352686,-14687098.502344102,169621967.44505557
46,142,HD_28024,13,7957.8718,42842,0.675,0.013221,0.002539,0.000417,0.9551,7719.0,W2,S2,211015_13_HD_28024.pav,252232055.94513145,252232055.94513145,94.9487407279758,0.02422934468537225,0.0026583603811119257,0.0004366034970160193,0.11329276749759837,0.002298588387959037,-14687098.502344102,169621967.44505557
47,143,HD_28024,13,7957.8718,42842,0.6697,0.013718,0.002639,0.000554,0.9564,7211.6,W2,S2,211015_13_HD_28024.pav,254228218.25140175,254228218.25140175,94.9487407279758,0.02526017223320152,0.002759305729820159,0.0005792555416143873,0.10508977908727302,0.002608966522261184,-14687098.502344102,169621967.44505557
48,144,HD_28024,13,7957.8718,42842,0.6643,0.012161,0.002302,0.000542,0.9581,7223.3,W2,S2,211015_13_HD_28024.pav,256294803.19579068,256294803.19579068,94.9487407279758,0.022495437625294868,0.0024026719549107606,0.0005657029537626552,0.0969049939457414,0.0026208737878701135,-14687098.502344102,169621967.44505557
49,145,HD_28024,13,7957.8718,42842,0.659,0.011728,0.002205,0.000498,0.9588,7210.2,W2,S2,211015_13_HD_28024.pav,258356051.2336324,258356051.2336324,94.9487407279758,0.02181554200412095,0.002299749687108886,0.0005193992490613266,0.0951291001856397,0.0024659970882476394,-14687098.502344102,169621967.44505557
50,146,HD_28024,13,7957.8718,42842,0.6536,0.009843,0.001573,0.000512,0.9588,7157.1,W2,S2,211015_13_HD_28024.pav,260490571.85275972,260490571.85275972,94.9487407279758,0.018429048005562252,0.0016405924071756363,0.0005340008343763037,0.08737200276877186,0.0027099219221374577,-14687098.502344102,169621967.44505557
51,147,HD_28024,13,7957.8718,42842,0.6485,0.011709,0.001689,0.00058,0.9576,6518.9,W2,S2,211015_13_HD_28024.pav,262539148.4394198,262539148.4394198,94.9487407279758,0.022087915614181254,0.0017637844611528822,0.0006056808688387636,0.09149197784832858,0.0027257714130648905,-14687098.502344102,169621967.44505557
52,148,HD_28024,13,7957.8718,42842,0.6436,0.010543,0.001687,0.000567,0.9578,6567.1,W2,S2,211015_13_HD_28024.pav,264537970.42101267,264537970.42101267,94.9487407279758,0.020005494880403735,0.0017613280434328668,0.0005919816245562749,0.09079756160478268,0.002884971172407838,-14687098.502344102,169621967.44505557
53,149,HD_28024,13,7957.8718,42842,0.6389,0.010056,0.001738,0.000654,0.9572,6616.7,W2,S2,211015_13_HD_28024.pav,266484015.90697095,266484015.90697095,94.9487407279758,0.019206888964140516,0.0018157124947764311,0.0006832427914751358,0.09966807447942598,0.0037456557669195045,-14687098.502344102,169621967.44505557
54,150,HD_28024,13,7957.8718,42842,0.6345,0.00698,0.001196,0.000638,0.955,6517.8,W2,S2,211015_13_HD_28024.pav,268331974.40971434,268331974.40971434,94.9487407279758,0.013437606078583412,0.0012523560209424084,0.0006680628272251309,0.0830313271323546,0.004260621699780998,-14687098.502344102,169621967.44505557
55,151,HD_28024,13,7957.8718,42842,0.63,0.005159,0.001457,0.000655,0.9502,6253.4,W2,S2,211015_13_HD_28024.pav,270248631.3697837,270248631.3697837,94.9487407279758,0.010040264732697684,0.001533361397600505,0.0006893285624079141,0.0792947310226363,0.005626055055253831,-14687098.502344102,169621967.44505557
57,201,HD_28024,18,7957.8885,42842,0.7857,0.013921,0.005404,0.000444,0.9617,5358.8,W2,S2,211015_18_HD_28024.pav,217422725.67135462,217422725.67135462,98.87434322709973,0.02104148813816175,0.005619215971716752,0.00046168243735052514,0.2461028986196024,0.016576004333535337,-26353448.046763055,168784048.90984398
58,202,HD_28024,18,7957.8885,42842,0.7779,0.018124,0.006037,0.00043,0.9619,5645.9,W2,S2,211015_18_HD_28024.pav,219602822.41931266,219602822.41931266,98.87434322709973,0.027549818701511245,0.006276120178812766,0.00044703191599958415,0.224415731270398,0.005185363852547424,-26353448.046763055,168784048.90984398
59,203,HD_28024,18,7957.8885,42842,0.7706,0.020727,0.006516,0.000477,0.9616,5597.7,W2,S2,211015_18_HD_28024.pav,221683150.22058567,221683150.22058567,98.87434322709973,0.03169357231464575,0.006776206322795341,0.0004960482529118136,0.21203093630575037,0.005396251442679914,-26353448.046763055,168784048.90984398
60,204,HD_28024,18,7957.8885,42842,0.7633,0.018318,0.005817,0.000457,0.9611,5699.3,W2,S2,211015_18_HD_28024.pav,223803269.43532467,223803269.43532467,98.87434322709973,0.028185333884661923,0.006052439912600146,0.00047549682655290815,0.21103835262420206,0.0050793022191849245,-26353448.046763055,168784048.90984398
61,205,HD_28024,18,7957.8885,42842,0.7564,0.015902,0.004896,0.00039,0.9599,6089.3,W2,S2,211015_18_HD_28024.pav,225844838.12795258,225844838.12795258,98.87434322709973,0.024634196762658524,0.005100531305344307,0.0004062923221168872,0.20808250281612733,0.006069267880392424,-26353448.046763055,168784048.90984398
62,206,HD_28024,18,7957.8885,42842,0.7496,0.010881,0.00352,0.00036,0.9591,6800.9,W2,S2,211015_18_HD_28024.pav,227893590.66166395,227893590.66166395,98.87434322709973,0.016963777374058662,0.0036701073923469923,0.0003753518923991242,0.18062211958160132,0.006402995403349016,-26353448.046763055,168784048.90984398
63,207,HD_28024,18,7957.8885,42842,0.7428,0.007653,0.002216,0.000342,0.959,7218.8,W2,S2,211015_18_HD_28024.pav,229979854.0118246,229979854.0118246,98.87434322709973,0.012000200902239586,0.002310740354535975,0.000356621480709072,0.16483828457956762,0.007412893498104801,-26353448.046763055,168784048.90984398
