,index,Star,Scan,JD,CHARA_num,wl,v2,v2c,v2sig,v2exp,flux,T1,T2,File,sp_freq,sp_freq_sample,pa,corr_v2,corr_v2c,corr_v2sig,cal_v2,cal_v2sig,u,v
18,66,HD_84999,6,7793.7031,130216,0.675,0.003772,0.001033,0.000298,0.9602,14698.7,W2,S2,210504_6_HD_84999.pav,224977564.4881745,224977564.4881745,131.7882675327552,0.006335641104758896,0.001075817538012914,0.00031035200999791706,0.03422291067462236,0.002058430923830423,-101196341.25126356,113228602.35233712
19,67,HD_84999,6,7793.7031,130216,0.6697,0.003928,0.001168,0.000359,0.9604,13653.6,W2,S2,210504_6_HD_84999.pav,226758034.98509452,226758034.98509452,131.7882675327552,0.0066328070491612654,0.0012161599333610994,0.00037380258225739276,0.029707892810250554,0.002411123560295775,-101196341.25126356,113228602.35233712
20,68,HD_84999,6,7793.7031,130216,0.6643,0.002446,0.001045,0.000329,0.9611,13652.9,W2,S2,210504_6_HD_84999.pav,228601318.72575313,228601318.72575313,131.7882675327552,0.004150930416157909,0.0010872958068879409,0.00034231609613983975,0.01927672272179343,0.0017627611300323712,-101196341.25126356,113228602.35233712
21,69,HD_84999,6,7793.7031,130216,0.659,0.001502,0.000819,0.000315,0.961,13605.6,W2,S2,210504_6_HD_84999.pav,230439842.22992077,230439842.22992077,131.7882675327552,0.0025637935154389896,0.0008522372528616025,0.00032778355879292404,0.013066481713284308,0.0018064772604744369,-101196341.25126356,113228602.35233712
22,70,HD_84999,6,7793.7031,130216,0.6536,0.001975,0.000374,0.000334,0.9599,13597.4,W2,S2,210504_6_HD_84999.pav,232343720.97539446,232343720.97539446,131.7882675327552,0.0033949602584167934,0.00038962391915824563,0.00034795291176164183,0.019396996141778717,0.002319721091943982,-101196341.25126356,113228602.35233712
23,71,HD_84999,6,7793.7031,130216,0.6485,0.001559,0.000172,0.000431,0.9564,12547.0,W2,S2,210504_6_HD_84999.pav,234170942.2197653,234170942.2197653,131.7882675327552,0.00270495807246944,0.00017984107068172312,0.0004506482643245504,0.01097135956930049,0.001906877078052113,-101196341.25126356,113228602.35233712
24,72,HD_84999,6,7793.7031,130216,0.6436,0.000797,0.000325,0.000491,0.9525,12636.7,W2,S2,210504_6_HD_84999.pav,235953785.00546584,235953785.00546584,131.7882675327552,0.0013961848219014202,0.00034120734908136484,0.000515485564304462,0.006185511825252533,0.0022966891816746404,-101196341.25126356,113228602.35233712
25,73,HD_84999,6,7793.7031,130216,0.6389,0.001009,9.5e-05,0.000389,0.9455,12563.1,W2,S2,210504_6_HD_84999.pav,237689553.96700233,237689553.96700233,131.7882675327552,0.0017902445081647187,0.00010047593865679535,0.0004114225277630883,0.01022262513783291,0.002372328603958065,-101196341.25126356,113228602.35233712
26,74,HD_84999,6,7793.7031,130216,0.6345,0.00073,0.000245,0.000439,0.9336,12241.2,W2,S2,210504_6_HD_84999.pav,239337834.5618878,239337834.5618878,131.7882675327552,0.0013184379446832943,0.0002624250214224507,0.000470222793487575,0.008865079529436312,0.0031829559177657435,-101196341.25126356,113228602.35233712
27,75,HD_84999,6,7793.7031,130216,0.63,-3e-05,0.00034,0.000467,0.9106,11628.2,W2,S2,210504_6_HD_84999.pav,241047390.52304414,241047390.52304414,131.7882675327552,-5.5845157859831304e-05,0.00037338018888644856,0.0005128486712057984,-0.00041623529764055233,0.003822501210076705,-101196341.25126356,113228602.35233712
28,124,HD_84999,9,7793.7228,130216,0.7935,0.007405,0.00235,0.000241,0.9639,9163.7,W2,S2,210504_9_HD_84999.pav,186062800.08451036,186062800.08451036,136.21717613230558,0.010644499903320467,0.002438012241933811,0.0002500259363004461,0.0954884780140031,0.003891820578157837,-106591909.79929385,102156644.42284885
29,125,HD_84999,9,7793.7228,130216,0.7857,0.008946,0.0029,0.000247,0.9629,9675.7,W2,S2,210504_9_HD_84999.pav,187909929.8295265,187909929.8295265,136.21717613230558,0.012940527413564383,0.0030117353826980995,0.0002565167722504933,0.0916949022845003,0.003482082870339274,-106591909.79929385,102156644.42284885
30,126,HD_84999,9,7793.7228,130216,0.7779,0.010204,0.003278,0.000261,0.9624,10022.2,W2,S2,210504_9_HD_84999.pav,189794101.89877743,189794101.89877743,136.21717613230558,0.014847048141602018,0.003406068162926018,0.00027119700748129676,0.09256066263310199,0.00393750130125623,-106591909.79929385,102156644.42284885
31,127,HD_84999,9,7793.7228,130216,0.7706,0.010686,0.003725,0.000271,0.9628,9918.8,W2,S2,210504_9_HD_84999.pav,191592047.58247983,191592047.58247983,136.21717613230558,0.015621618837596187,0.003868923971749065,0.00028147071042791856,0.09356620684050154,0.004849411085311565,-106591909.79929385,102156644.42284885
32,128,HD_84999,9,7793.7228,130216,0.7633,0.008796,0.002957,0.00024,0.9653,10365.5,W2,S2,210504_9_HD_84999.pav,193424383.42337084,193424383.42337084,136.21717613230558,0.012892541892142064,0.003063296384543665,0.0002486273697296177,0.0856605637880039,0.006590826458590715,-106591909.79929385,102156644.42284885
