,index,Star,Scan,JD,CHARA_num,wl,v2,v2c,v2sig,v2exp,flux,T1,T2,File,sp_freq,sp_freq_sample,pa,corr_v2,corr_v2c,corr_v2sig,cal_v2,cal_v2sig,u,v
10,20,HD_211336,2,7956.7091,317174,0.7223,0.003357,0.000762,0.000299,0.9594,8977.8,W2,S2,211014_2_HD_211336.pav,226734673.5890371,226734673.5890371,116.62320810467833,0.005966244932207646,0.0007942464040025016,0.0003116531165311653,0.14238043211974138,0.007943143891365492,-73389018.47750463,146406331.18304858
11,21,HD_211336,2,7956.7091,317174,0.7159,0.002306,0.000723,0.000296,0.9587,8921.9,W2,S2,211014_2_HD_211336.pav,228761635.33085838,228761635.33085838,116.62320810467833,0.004128899237640474,0.0007541462396995932,0.00030875143423385836,0.13685225033664453,0.011030163598711763,-73389018.47750463,146406331.18304858
12,22,HD_211336,2,7956.7091,317174,0.7095,0.00472,0.001111,0.000307,0.9584,9387.9,W2,S2,211014_2_HD_211336.pav,230825165.2337724,230825165.2337724,116.62320810467833,0.008511682534389066,0.0011592237061769615,0.00032032554257095154,0.14657386987458138,0.006044215103611655,-73389018.47750463,146406331.18304858
13,23,HD_211336,2,7956.7091,317174,0.7035,0.007427,0.001476,0.00029,0.9583,9747.5,W2,S2,211014_2_HD_211336.pav,232793823.35943356,232793823.35943356,116.62320810467833,0.0134821810970383,0.0015402274861734322,0.00030261922153814044,0.13114859979767984,0.003281590258380695,-73389018.47750463,146406331.18304858
14,24,HD_211336,2,7956.7091,317174,0.6977,0.009125,0.001686,0.000311,0.9582,9925.5,W2,S2,211014_2_HD_211336.pav,234729045.0528329,234729045.0528329,116.62320810467833,0.016672169029011894,0.0017595491546649967,0.000324566896263828,0.13258923657741795,0.0029031029180680815,-73389018.47750463,146406331.18304858
15,25,HD_211336,2,7956.7091,317174,0.6918,0.009029,0.001764,0.000355,0.9567,9376.4,W2,S2,211014_2_HD_211336.pav,236730926.18294525,236730926.18294525,116.62320810467833,0.01663198891564379,0.0018438381937911572,0.00037106721020173513,0.11391641607703618,0.0027753835123155886,-73389018.47750463,146406331.18304858
16,26,HD_211336,2,7956.7091,317174,0.686,0.008595,0.001532,0.000331,0.9566,9423.1,W2,S2,211014_2_HD_211336.pav,238732441.30227622,238732441.30227622,116.62320810467833,0.015939026038293384,0.0016015053313819777,0.0003460171440518503,0.11007650203414701,0.0026116505347618803,-73389018.47750463,146406331.18304858
17,27,HD_211336,2,7956.7091,317174,0.6804,0.007852,0.001745,0.000284,0.956,9515.2,W2,S2,211014_2_HD_211336.pav,240697317.3623773,240697317.3623773,116.62320810467833,0.01466452842196966,0.0018253138075313808,0.000297071129707113,0.10017817732466126,0.0022349642470214964,-73389018.47750463,146406331.18304858
18,28,HD_211336,2,7956.7091,317174,0.675,0.007287,0.001676,0.000309,0.9552,9621.4,W2,S2,211014_2_HD_211336.pav,242622895.9012763,242622895.9012763,116.62320810467833,0.013707092282813521,0.0017546063651591288,0.00032349246231155773,0.10176769705694719,0.0026368691580134712,-73389018.47750463,146406331.18304858
19,29,HD_211336,2,7956.7091,317174,0.6697,0.007447,0.001504,0.000325,0.9518,8942.2,W2,S2,211014_2_HD_211336.pav,244543011.39818057,244543011.39818057,116.62320810467833,0.014147017949081974,0.001580163899978987,0.00034145828955662954,0.09887423632747067,0.0026323650639231227,-73389018.47750463,146406331.18304858
20,30,HD_211336,2,7956.7091,317174,0.6643,0.005459,0.001052,0.000382,0.95,8846.7,W2,S2,211014_2_HD_211336.pav,246530866.6767447,246530866.6767447,116.62320810467833,0.010457784381964928,0.0011073684210526316,0.00040210526315789477,0.07472514917749287,0.0030080496013393967,-73389018.47750463,146406331.18304858
21,31,HD_211336,2,7956.7091,317174,0.659,0.005204,0.001103,0.000393,0.9491,8714.8,W2,S2,211014_2_HD_211336.pav,248513588.36625418,248513588.36625418,116.62320810467833,0.010043616560581038,0.0011621536192182066,0.000414076493520177,0.07072808621666506,0.0030191034549341307,-73389018.47750463,146406331.18304858
22,32,HD_211336,2,7956.7091,317174,0.6536,0.005446,0.000915,0.000428,0.9486,8648.1,W2,S2,211014_2_HD_211336.pav,250566791.20771345,250566791.20771345,116.62320810467833,0.010587028110117637,0.0009645793801391525,0.000451191229179844,0.07276855970936057,0.0031869732468470394,-73389018.47750463,146406331.18304858
23,33,HD_211336,2,7956.7091,317174,0.6485,0.005888,0.001296,0.000507,0.9454,7937.8,W2,S2,211014_2_HD_211336.pav,252537324.18405786,252537324.18405786,116.62320810467833,0.01155884920261943,0.0013708483181722024,0.0005362809392849587,0.07444308186959044,0.003562402138026883,-73389018.47750463,146406331.18304858
24,34,HD_211336,2,7956.7091,317174,0.6436,0.006413,0.00104,0.000428,0.9451,7981.4,W2,S2,211014_2_HD_211336.pav,254459998.03194767,254459998.03194767,116.62320810467833,0.012672468705045226,0.0011004126547455293,0.00045286213099142946,0.08972541703464008,0.0033669157312004212,-73389018.47750463,146406331.18304858
25,35,HD_211336,2,7956.7091,317174,0.6389,0.004097,0.000905,0.000424,0.9454,7958.1,W2,S2,211014_2_HD_211336.pav,256331905.98428786,256331905.98428786,116.62320810467833,0.008142777035647858,0.0009572667653903109,0.0004484874127353501,0.0653742193639059,0.0036819107968988087,-73389018.47750463,146406331.18304858
26,36,HD_211336,2,7956.7091,317174,0.6345,0.003916,0.000639,0.000423,0.9452,7786.8,W2,S2,211014_2_HD_211336.pav,258109463.72476205,258109463.72476205,116.62320810467833,0.007829566805288225,0.0006760473973762167,0.0004475243334743969,0.07416935961226549,0.004344833630019139,-73389018.47750463,146406331.18304858
27,37,HD_211336,2,7956.7091,317174,0.63,0.003782,0.000616,0.000477,0.9439,7383.5,W2,S2,211014_2_HD_211336.pav,259953102.75136748,259953102.75136748,116.62320810467833,0.007617406976075882,0.0006526115054560865,0.0005053501430236254,0.09227867165170872,0.006329489754220225,-73389018.47750463,146406331.18304858
56,124,HD_211336,10,7956.788,317174,0.7935,0.003946,0.001257,0.000562,0.9857,5811.7,W2,S2,211014_10_HD_211336.pav,190457426.2288905,190457426.2288905,134.20363799171972,0.008959020929954799,0.0012752358729836665,0.0005701531906259511,0.21057556127775182,0.015274932249562945,-105368024.31620947,108338553.04851913
57,125,HD_211336,10,7956.788,317174,0.7857,0.007091,0.001405,0.000603,0.9859,6174.7,W2,S2,211014_10_HD_211336.pav,192348183.4194026,192348183.4194026,134.20363799171972,0.016247524160590728,0.0014250938229029312,0.0006116238969469521,0.2428490961015224,0.010419304910812055,-105368024.31620947,108338553.04851913
